"section","display_order","contract_id","audit_card","lineage_root","evidence_role","mask_role","mask_label","region_rule","region_values","country_code","country_code_status","reported_use","source_trace","claim_boundary"
"Scored focused contract country membership","001","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","BLR","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","002","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","CZE","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","003","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","EST","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","004","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","HUN","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","005","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","LTU","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","006","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","LVA","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","007","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","MDA","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","008","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","POL","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","009","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","RUS","Included in the scored mask when explicitly specified; evaluated in the conservative ambiguity audit.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","010","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","SVK","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","011","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","UKR","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","012","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","ALB","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","013","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","BGR","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","014","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","BIH","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","015","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","GRC","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","016","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","HRV","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","017","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","MNE","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","018","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","ROU","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","019","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","SRB","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","020","R_Z280_EE_RUSSIA_TO_BALKAN","R-Z280","R-Z280","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","SVN","Included in the scored mask.","Defines the positive matched-comparator envelope for the held-out PH908 application.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","021","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","BLR","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","022","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","CZE","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","023","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","EST","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","024","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","HUN","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","025","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","LTU","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","026","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","LVA","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","027","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","MDA","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","028","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","POL","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","029","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","RUS","Included in the scored mask when explicitly specified; evaluated in the conservative ambiguity audit.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","030","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","SVK","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","031","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","UKR","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","032","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","ALB","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","033","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","BGR","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","034","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","BIH","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","035","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","GRC","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","036","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","HRV","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","037","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","MKD","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","038","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","MNE","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","039","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","ROU","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","040","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","SRB","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","041","R_M458_EE_RUSSIA_TO_BALKAN","R-M458","R-M458","Matched R1a positive comparator","receiver","Balkans","Focused roll-up region mask","balkan","SVN","Included in the scored mask.","Calibrates the positive matched-comparator envelope while exposing branch-scale sensitivity.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","042","PH908_EE_RUSSIA_TO_BALKAN","PH908","I-PH908","Held-out target application","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","BLR","Included in the scored mask.","Tests whether PH908 enters the predefined matched R1a-comparator envelope; it does not.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","043","PH908_EE_RUSSIA_TO_BALKAN","PH908","I-PH908","Held-out target application","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","CZE","Included in the scored mask.","Tests whether PH908 enters the predefined matched R1a-comparator envelope; it does not.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
"Scored focused contract country membership","044","PH908_EE_RUSSIA_TO_BALKAN","PH908","I-PH908","Held-out target application","source","Eastern Europe/Russia","Focused roll-up region mask","east_europe;east_europe_plus_russia","HUN","Included in the scored mask.","Tests whether PH908 enters the predefined matched R1a-comparator envelope; it does not.","tables/26_benchmark_audit_card_matrix.csv; source_data/core_yfull/source_receiver_highlight_contracts.csv; audited country-code recode used for the core YFull source bundle","Country-code membership for a predefined model-checking mask only; not subnational placement, geographic origin, ethnic identity, population continuity, migration route, or population frequency."
